"","stk.name","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"alpha","E. Stuart","1.56271800807616","0.166516755407488","1.25183044771787","1.44915729477628","1.55954231894598","1.67650016140319","1.89372328365098","1.00102550119631","10000"
"beta0","E. Stuart","1.30735744955035","0.623326333346715","0.520199166295731","0.818907696933035","1.17712068102566","1.65600345904734","2.82764333644476","1.00088720006795","10000"
"beta1","E. Stuart","2.13660919246805","0.948804535210918","0.386983012869721","1.46328905751575","2.10550979087203","2.7622313607286","4.08773131859453","1.00096274294522","10000"
"beta2","E. Stuart","1.25564385163109","0.727332631001269","0.104213478639015","0.697641250982124","1.1978770605949","1.73126486087245","2.83189238979767","1.00125591926657","5500"
"beta3","E. Stuart","0.796747808862588","0.576023061624435","0.0335009304085116","0.346860462128662","0.689192212540507","1.1356789697259","2.14230643256728","1.00088703004208","10000"
"deviance","E. Stuart","-120.042271527368","3.09282111493567","-124.153422078777","-122.301551865932","-120.645213763956","-118.43471360825","-112.397247162422","1.00134748683311","4600"
"sigma","E. Stuart","0.890721177854817","0.081008541132155","0.751800680921848","0.834028652264234","0.883874075142854","0.940260913812417","1.06707295128251","1.00089516061723","10000"
"alpha","L. Stuart","1.88048575121146","0.212625468085486","1.47556000944918","1.73538190267378","1.87681649979344","2.02371730238347","2.30876438065029","1.00148945753157","3600"
"beta0","L. Stuart","0.930293357371218","0.488789572612072","0.228259163674467","0.544657423097722","0.861213639131464","1.23703043298694","2.03150390877152","1.00137345559347","4400"
"beta1","L. Stuart","1.00245821631469","0.542281625737084","0.0924086452185296","0.599757851853033","0.970291772491955","1.3562395696761","2.17117487882953","1.00241075306781","4600"
"beta2","L. Stuart","0.854562657958595","0.502813573436665","0.0637620720331097","0.464846991934467","0.809965455660785","1.18531189535275","1.93925744789337","1.00082728762112","10000"
"beta3","L. Stuart","0.436924344971271","0.3461161841564","0.0166353198101773","0.164654201306683","0.352908478787653","0.63384428855764","1.30164773703062","1.00162556077628","3000"
"deviance","L. Stuart","-64.8768142361059","3.31390200789065","-69.4976984785763","-67.2707911434048","-65.5228475868289","-63.1261505418876","-56.6406912609113","1.0010159333594","10000"
"sigma","L. Stuart","1.29687241799761","0.120222926428412","1.08521766418664","1.2125359469365","1.2880203887307","1.37178684753143","1.55727529716449","1.00110290977849","8200"
"alpha","Stellako","2.61988135717933","0.228736484034988","2.1760975662557","2.46376228273683","2.62067683546758","2.77426085909927","3.07145070672129","1.00162004245505","3000"
"beta0","Stellako","3.35337823142864","1.04266944394925","1.34161102635232","2.63413006235794","3.34552826247613","4.06624261993238","5.41570661697349","1.00136100112451","4400"
"beta1","Stellako","2.89264549520738","1.04167133663303","0.871931298682563","2.18267181421616","2.90243729986872","3.60448063390284","4.93152620869728","1.00092929784429","10000"
